time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss
278,54,254,50.0,-49.5,0.01,13900,,,,3899,0.000995367,0.15912964940071106,-9.336155891418457,0.0242101289331913,4.606869697570801
279,54,255,50.0,-49.5,0.01,13950,,,,3949,0.0009953503333333333,0.25625452399253845,-9.773865699768066,0.023189233615994453,4.815460205078125
280,54,255,50.0,-49.5,0.01,14000,,,,3999,0.0009953336666666667,0.10632488131523132,-9.644817352294922,0.02217509038746357,4.782129764556885
281,54,256,50.0,-49.5,0.01,14050,,,,4049,0.0009953170000000001,0.20194855332374573,-9.015464782714844,0.021220138296484947,4.789738655090332
282,54,257,50.0,-49.5,0.01,14100,,,,4099,0.0009953003333333333,0.20994478464126587,-8.456521987915039,0.020358853042125702,4.729896545410156
283,54,258,50.0,-49.5,0.01,14150,,,,4149,0.0009952836666666668,0.24273422360420227,-9.131328582763672,0.019497742876410484,4.698853492736816
284,54,259,50.0,-49.5,0.01,14200,,,,4199,0.000995267,0.15940329432487488,-9.362602233886719,0.01866806298494339,4.500191688537598
285,54,259,50.0,-49.5,0.01,14250,,,,4249,0.0009952503333333334,0.11185872554779053,-9.575017929077148,0.017915764823555946,4.765864849090576
286,54,260,50.0,-49.5,0.01,14300,,,,4299,0.0009952336666666666,0.1360667645931244,-9.488293647766113,0.017143504694104195,5.069775581359863
287,54,261,50.0,-49.5,0.01,14350,,,,4349,0.000995217,0.12720316648483276,-10.76041030883789,0.01642494648694992,4.842667579650879
288,54,262,50.0,-49.5,0.01,14400,,,,4399,0.0009952003333333333,0.23077493906021118,-8.542896270751953,0.015711793676018715,4.925812244415283
289,54,262,50.0,-49.5,0.01,14450,,,,4449,0.0009951836666666667,0.11500511318445206,-10.49779224395752,0.015067334286868572,4.737558841705322
290,54,263,50.0,-49.5,0.01,14500,,,,4499,0.0009951670000000001,0.11940674483776093,-9.851900100708008,0.014419520273804665,4.934083461761475
291,55,264,50.0,-49.5,0.01,14550,,,,4549,0.0009951503333333334,0.22216370701789856,-7.524820327758789,0.013856448233127594,5.285608291625977
