rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss
50.0,54,280,14000,-50.0,0.0,258,,,,0.000986001,0.023068899288773537,0.12962298095226288,3999,4.83284330368042,-8.433303833007812
50.0,54,281,14050,-50.0,0.0,258,,,,0.000985951,0.02209904044866562,0.14610524475574493,4049,4.638890266418457,-9.267425537109375
50.0,54,282,14100,-50.0,0.0,259,,,,0.000985901,0.021144503727555275,0.16348938643932343,4099,4.546273231506348,-8.624072074890137
50.0,54,283,14150,-50.0,0.0,260,,,,0.000985851,0.020244086161255836,0.10629281401634216,4149,4.731028079986572,-9.657193183898926
50.0,54,284,14200,-50.0,0.0,261,,,,0.0009858010000000001,0.019366836175322533,0.15226225554943085,4199,4.541258811950684,-9.319877624511719
50.0,54,285,14250,-50.0,0.0,261,,,,0.000985751,0.018567204475402832,0.0945291519165039,4249,4.565796852111816,-9.339162826538086
50.0,54,286,14300,-50.0,0.0,262,,,,0.000985701,0.01778014935553074,0.16040940582752228,4299,4.85944938659668,-8.870025634765625
50.0,54,287,14350,-50.0,0.0,263,,,,0.0009856510000000001,0.017035994678735733,0.11470237374305725,4349,4.725429058074951,-9.948944091796875
50.0,54,288,14400,-50.0,0.0,264,,,,0.000985601,0.01631227135658264,0.12666986882686615,4399,4.47184944152832,-9.360139846801758
50.0,54,289,14450,-50.0,0.0,265,,,,0.0009855509999999999,0.015663327649235725,0.19546499848365784,4449,4.574154376983643,-10.061653137207031
50.0,54,290,14500,-50.0,0.0,266,,,,0.000985501,0.0150063531473279,0.17839132249355316,4499,4.6035356521606445,-8.612627029418945
50.0,54,291,14550,-50.0,0.0,266,,,,0.000985451,0.014411965385079384,0.12644824385643005,4549,4.759238243103027,-9.679363250732422
50.0,54,292,14600,-50.0,0.0,267,,,,0.000985401,0.013833836652338505,0.1106550395488739,4599,4.942905426025391,-9.438774108886719
50.0,54,293,14650,-50.0,0.0,268,,,,0.000985351,0.013272285461425781,0.10682916641235352,4649,4.575523853302002,-9.245444297790527
50.0,54,294,14700,-50.0,0.0,269,,,,0.000985301,0.012723639607429504,0.14610496163368225,4699,4.754817485809326,-8.993999481201172
50.0,54,295,14750,-50.0,0.0,269,,,,0.000985251,0.012204150669276714,0.12217490375041962,4749,4.504253387451172,-10.04149055480957
50.0,54,296,14800,-50.0,0.0,270,,,,0.000985201,0.011715291999280453,0.19499178230762482,4799,4.642955780029297,-10.037952423095703
